"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","O","N.Name.Nom.Sg.*","NP","O",NA,"O",0,NA,"O",NA,NA,NA,"O",1
"3",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"4","F","N.Reg.Nom.Sg.Neut","SYM","F",NA,"F",0,NA,"F",NA,NA,NA,"F",1
"5","6NN6","CARD","JJ","6NN6",NA,"6NN6",1,"6NN6",NA,NA,NA,NA,NA,1
"6","X","SYM.Other.XY","NN","X",NA,"X",0,NA,"X",NA,NA,NA,"X",1
"7","A","SYM.Other.XY","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",1
"8","Eg0e","N.Name.Nom.Sg.Neut","JJ","Eg0e",NA,"Eg0e",1,"Eg0e",NA,NA,NA,NA,NA,1
"9","1","CARD","CD","1",NA,"1",0,NA,"1",NA,NA,NA,"1",1
"10","825","CARD","CD","825",NA,"825",1,"825",NA,NA,NA,NA,NA,1
"11","*","SYM.Other.Aster","SYM","*",NA,"*",0,NA,"*",NA,NA,NA,"*",1
"12","Ka2","N.Name.*.*.*","NP","Ka2",NA,"Ka2",1,"Ka2",NA,NA,NA,NA,NA,1
"13","k","N.Name.Dat.Sg.Neut","NN","k",NA,"k",0,NA,"k",NA,NA,NA,"k",1
"14",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"15","—","N.Name.*.*.*",":","—",NA,"—",1,"—",NA,NA,NA,NA,NA,1
"16","△","N.Name.*.*.*","NP","△",NA,"△",1,"△",NA,NA,NA,NA,NA,1
"17","COMPLETE","N.Name.*.*.*","JJ","COMPLETE",NA,"COMPLETE",0,NA,"COMPLETE",NA,NA,NA,"COMPLETE",1
"18","ENetIsI","N.Name.*.*.*","NP","ENetIsI",NA,"ENetIsI",1,"ENetIsI",NA,NA,NA,NA,NA,1
"19","Grammar","N.Name.Nom.Sg.*","NN","Grammar",NA,"Grammar",0,NA,"Grammar",NA,NA,NA,"Grammar",1
"20",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"21","61","CARD","CD","61",NA,"61",1,"61",NA,NA,NA,NA,NA,1
"22","MANRNSSRMRRR","N.Reg.Nom.*.*","NP","MANRNSSRMRRR",NA,"MANRNSSRMRRR",1,"MANRNSSRMRRR",NA,NA,NA,NA,NA,1
"23","—","N.Name.*.*.*",":","—",NA,"—",1,"—",NA,NA,NA,NA,NA,1
"24","4","CARD","CD","4",NA,"4",0,NA,"4",NA,NA,NA,"4",1
"25","pir","N.Name.*.*.*","NN","pir",NA,"pir",0,NA,"pir",NA,NA,NA,"pir",1
"26","CHAP","N.Name.Nom.Sg.*","NN","CHAP",NA,"CHAP",0,NA,"CHAP",NA,NA,NA,"CHAP",1
"27",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"28","I","CARD","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",1
"29",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"30","Of","N.Name.*.*.*","IN","Of","Of","Of",0,NA,"Of",NA,NA,NA,"Of",1
"31","PRONUNCIATION","N.Name.Nom.Sg.Neut","NN","PRONUNCIATION",NA,"PRONUNCIATION",0,NA,"PRONUNCIATION",NA,NA,NA,"PRONUNCIATION",1
"32",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"33","KRZRONUNCIATIONis","N.Name.*.*.*","NP","KRZRONUNCIATIONis",NA,"KRZRONUNCIATIONis",1,"KRZRONUNCIATIONis",NA,NA,NA,NA,NA,1
"34","a","N.Name.*.*.*","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",1
"35","truc","N.Name.*.*.*","NN","truc",NA,"truc",1,"truc",NA,NA,NA,NA,NA,1
"36","and","N.Name.*.*.*","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",1
"37","MN","N.Name.*.*.*","JJ","MN",NA,"MN",1,"MN",NA,NA,NA,NA,NA,1
"38","kN","N.Name.*.*.*","NN","kN",NA,"kN",1,"kN",NA,NA,NA,NA,NA,1
"39","*","SYM.Other.Aster","SYM","*",NA,"*",0,NA,"*",NA,NA,NA,"*",1
"40","*","SYM.Other.Aster","SYM","*",NA,"*",0,NA,"*",NA,NA,NA,"*",1
"41","*","SYM.Other.Aster","SYM","*",NA,"*",0,NA,"*",NA,NA,NA,"*",1
"42","X","SYM.Other.XY","CD","X",NA,"X",0,NA,"X",NA,NA,NA,"X",1
"43","natural","FM","JJ","natural",NA,"natural",0,NA,"natural",NA,NA,NA,"natural",1
"44","Manner","N.Reg.Nom.Pl.Masc","NP","Manner",NA,"Manner",0,NA,"Manner",NA,NA,NA,"Manner",1
"45","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",1
"46","exprefling","FM","VVG","exprefling","exprefling","exprefling",1,"exprefling",NA,NA,NA,NA,NA,1
"47","Syllables","FM","NNS","Syllables",NA,"Syllables",0,NA,"Syllables",NA,NA,NA,"Syllables",1
"48","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",1
"49","Words","FM","NNS","Words",NA,"Words",0,NA,"Words",NA,NA,NA,"Words",1
"50","in","FM","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",1
"51","any","FM","DT","any",NA,"any",0,NA,"any",NA,NA,NA,"any",1
"52","Language","FM","NP","Language",NA,"Language",0,NA,"Language",NA,NA,NA,"Language",1
"53",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"54","according","FM","VVG","according",NA,"according",0,NA,"according",NA,NA,NA,"according",1
"55","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",1
"56","its","FM","PP$","its",NA,"its",0,NA,"its",NA,NA,NA,"its",1
"57","Genius","N.Reg.Nom.Sg.Masc","NN","Genius",NA,"Genius",0,NA,"Genius",NA,NA,NA,"Genius",1
"58",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"59","either","N.Name.*.*.*","CC","either",NA,"either",0,NA,"either",NA,NA,NA,"either",1
"60","with","N.Name.*.*.*","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",1
"61","k","N.Name.Nom.Sg.Neut","NN","k",NA,"k",0,NA,"k",NA,NA,NA,"k",1
"62","MMM","CARD","NP","MMM",NA,"MMM",1,"MMM",NA,NA,NA,NA,NA,1
"63","Regard","FM","NN","Regard",NA,"Regard",0,NA,"Regard",NA,NA,NA,"Regard",1
"64","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",1
"65","QUANTITY","N.Name.Nom.Sg.Neut","NN","QUANTITY",NA,"QUANTITY",0,NA,"QUANTITY",NA,NA,NA,"QUANTITY",1
"66",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"67","TONE","N.Name.Nom.Sg.Neut","NN","TONE",NA,"TONE",0,NA,"TONE",NA,NA,NA,"TONE",1
"68",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"69","Or","N.Name.Nom.Sg.Masc","CC","Or",NA,"Or",0,NA,"Or",NA,NA,NA,"Or",1
"70","AccEN","N.Name.Nom.Sg.Masc","NP","AccEN",NA,"AccEN",1,"AccEN",NA,NA,NA,NA,NA,1
"71",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"72","which","VFIN.Full.3.Sg.Past.Ind","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",1
"73","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",1
"74","Engliſb","FM","NN","Englisb",NA,"Englisb",1,"Englisb",NA,NA,NA,NA,NA,1
"75","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",1
"76","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",1
"77","divided","FM","VVN","divided",NA,"divided",0,NA,"divided",NA,NA,NA,"divided",1
"78","into","N.Name.*.*.*","IN","into",NA,"into",0,NA,"into",NA,NA,NA,"into",1
"79","four","FM","CD","four","four","four",0,NA,"four",NA,NA,NA,"four",1
"80","manner","FM","NN","manner",NA,"manner",0,NA,"manner",NA,NA,NA,"manner",1
"81","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",1
"82","Sounds","N.Reg.Nom.Pl.Masc","NNS","Sounds",NA,"Sounds",0,NA,"Sounds",NA,NA,NA,"Sounds",1
"83",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"84","viz","FM","FW","viz",NA,"viz",0,NA,"viz",NA,NA,NA,"viz",1
"85",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"86","Lönc","FM","NP","Lönc",NA,"Lönc",1,"Lönc",NA,NA,NA,NA,NA,1
"87",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"88","Shon'r","FM","NP","Shon'r",NA,"Shon'r",1,"Shon'r",NA,NA,NA,NA,NA,1
"89",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"90","Lrovin","FM","NP","Lrovin",NA,"Lrovin",1,"Lrovin",NA,NA,NA,NA,NA,1
"91",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"92","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",1
"93","PEcuLian","FM","NP","PEcuLian",NA,"PEcuLian",1,"PEcuLian",NA,NA,NA,NA,NA,1
"94",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"95","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",1
"96","fhall","FM","NN","fhall","fhall","fhall",1,"fhall",NA,NA,NA,NA,NA,1
"97","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",1
"98","lhewn","FM","VVN","lhewn",NA,"lhewn",1,"lhewn",NA,NA,NA,NA,NA,1
"99","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",1
"100","diſtinct","N.Name.*.*.*","JJ","distinct",NA,"distinct",0,NA,"distinct",NA,NA,NA,"distinct",1
"101","Chapters","N.Name.*.*.*","NNS","Chapters",NA,"Chapters",1,"Chapters",NA,NA,"Chapters",NA,"Chapters",1
"102",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"103","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",1
"104","which","ADJD.Pos","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",1
"105","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",1
"106","refer","FM","VVP","refer","refer","refer",0,NA,"refer",NA,NA,NA,"refer",1
