PREFACE	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
XX	CARD
general	ADJD.Pos
aflertion	FM
;	SYM.Pun.Sent
yet	FM
after	FM
all	FM
,	SYM.Pun.Comma
ſomething	N.Reg.Nom.Sg.Fem
complete	FM
may	FM
refult	VFIN.Full.3.Sg.Pres.Ind
from	FM
the	FM
fucceflive	FM
application	FM
of	FM
different	FM
abilities	FM
to	FM
the	FM
ſame	FM
undertaking	FM
,	SYM.Pun.Comma
and	FM
I	FM
will	FM
venture	FM
to	FM
offer	FM
the	FM
preſent	FM
work	FM
,	SYM.Pun.Comma
as	ADV
the	FM
moft	VFIN.Full.3.Sg.Pres.Ind
complete	FM
of	FM
the	FM
kind	FM
that	PRO.Dem.Subst.-.Nom.Sg.Neut
has	FM
yet	FM
appeared	FM
among	FM
us	FM
.	SYM.Pun.Sent
I	FM
am	PART.Deg
not	ADJD.Pos
inſenſible	N.Reg.Acc.Pl.Masc
,	SYM.Pun.Comma
however	FM
,	SYM.Pun.Comma
of	FM
the	FM
mnattention	FM
of	FM
the	FM
public	FM
at	FM
this	FM
juncture	FM
,	SYM.Pun.Comma
and	FM
their	FM
diſ	FM
-	SYM.Pun.Hyph
inclination	FM
either	ADJD.Comp
to	FM
examine	FM
a	FM
work	FM
of	FM
labour	FM
,	SYM.Pun.Comma
or	FM
to	FM
do	FM
it	FM
juſtice	FM
when	FM
examined	FM
.	SYM.Pun.Sent
I	FM
know	FM
how	PROADV.Inter
eaſu	FM
it	FM
is	FM
for	FM
vanity	FM
to	FM
aflume	FM
a	FM
right	FM
of	FM
judging	FM
even	FM
without	FM
the	FM
pains	FM
of	FM
reading	FM
,	SYM.Pun.Comma
and	FM
how	PROADV.Inter
often	FM
ſome	FM
have	VFIN.Aux.1.Sg.Pres.Ind
been	FM
found	FM
to	FM
demolifh	FM
a	FM
palace	FM
,	SYM.Pun.Comma
who	FM
were	FM
unable	FM
perhaps	FM
to	FM
build	FM
up	FM
a	FM
hovel	FM
:	SYM.Pun.Colon
Yet	FM
ſtill	FM
I	FM
have	VFIN.Aux.1.Sg.Pres.Ind
ſtrong	ADJD.Pos
expectations	FM
from	FM
the	FM
candour	FM
and	FM
diſcernment	FM
of	FM
many	FM
.	SYM.Pun.Sent
whoſe	FM
ſuperior	FM
abilities	FM
have	VFIN.Aux.1.Sg.Pres.Ind
taught	FM
them	ADJA.Pos.Dat.Sg.Neut
to	FM
know	FM
,	SYM.Pun.Comma
that	PRO.Dem.Subst.-.Acc.Sg.Neut
even	VFIN.Full.3.Pl.Pres.Ind
mediocrity	FM
in	FM
ſo	FM
difficult	VPP.Full.Psp
a	FM
work	FM
deſerves	FM
applaufe	VFIN.Full.1.Sg.Pres.Ind
.	SYM.Pun.Sent
E	SYM.Other.XY
R	SYM.Other.XY
RA	SYM.Other.XY
T	N.Name.*.*.*
A	N.Name.*.*.*
.	SYM.Pun.Sent
)	SYM.Paren.Right
AOE	N.Name.Nom.Sg.*
4	CARD
,	SYM.Pun.Comma
for	FM
donne	FM
read	FM
donné	FM
.	SYM.Pun.Sent
Ibid	FM
.	SYM.Pun.Sent
for	FM
pollußllable	FM
⸗	FM
M	N.Name.*.*.*
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
diſſpllables	N.Reg.Nom.Sg.Neut
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
11	CARD
,	SYM.Pun.Comma
for	N.Name.*.*.*
ghe	N.Name.*.*.*
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
gb	VIMP.Full.2.Sg
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
30	CARD
,	SYM.Pun.Comma
for	N.Name.*.*.*
monoſpllables	N.Name.*.*.*
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
words	ADJD.Pos
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
31	CARD
,	SYM.Pun.Comma
for	N.Name.*.*.*
bereafter	N.Name.*.*.*
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
bealtbful	ADJD.Pos
.	SYM.Pun.Sent
lbid	FM
.	SYM.Pun.Sent
for	FM
mono	FM
ſyllables	FM
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
words	ADJD.Pos
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
48	CARD
,	SYM.Pun.Comma
for	N.Name.*.*.*
ſball	N.Name.*.*.*
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
ſhal	N.Reg.Nom.Sg.Neut
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
§	N.Reg.Nom.Sg.Masc
6	CARD
,	SYM.Pun.Comma
for	FM
erote	FM
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
woritten	VPP.Full.Psp
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
64	CARD
,	SYM.Pun.Comma
for	N.Name.*.*.*
2	CARD
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
1	CARD
.	SYM.Pun.Sent
P	N.Name.*.*.*
.	SYM.Pun.Sent
8ç	N.Name.*.*.*
,	SYM.Pun.Comma
for	N.Name.*.*.*
lowing	N.Name.*.*.*
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
living	ADJD.Pos
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
111	CARD
,	SYM.Pun.Comma
for	N.Name.*.*.*
conſonant	N.Name.*.*.*
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
wowel	ADJD.Pos
.	SYM.Pun.Sent
P	N.Name.*.*.*
.	SYM.Pun.Sent
1o7	N.Name.*.*.*
,	SYM.Pun.Comma
for	N.Name.*.*.*
bulloch	N.Name.*.*.*
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
ſteer	N.Reg.Nom.Sg.Masc
.	SYM.Pun.Sent
Ibid	N.Name.Nom.Sg.Masc
.	SYM.Pun.Sent
for	N.Name.*.*.*
bridemaid	N.Name.*.*.*
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
bride	N.Reg.Nom.Sg.Neut
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
137	CARD
,	SYM.Pun.Comma
dele	FM
hundred	FM
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
203	CARD
,	SYM.Pun.Comma
for	FM
regular	FM
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
irregular	ADJD.Pos
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
257	CARD
,	SYM.Pun.Comma
for	N.Name.*.*.*
reſted	CARD
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
weſtedl	N.Reg.Nom.Sg.Neut
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
230	CARD
,	SYM.Pun.Comma
for	N.Name.*.*.*
reftexion	N.Name.*.*.*
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
inftexion	N.Name.Nom.Sg.Fem
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
264	CARD
,	SYM.Pun.Comma
for	N.Name.*.*.*
participle	N.Name.*.*.*
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
paſiue	N.Reg.Nom.Sg.Fem
.	SYM.Pun.Sent
P	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
405	CARD
,	SYM.Pun.Comma
for	N.Name.*.*.*
1563	CARD
r	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
1653	CARD

