"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREFACE","N.Name.Nom.Sg.Neut","NN","PREFACE",NA,"PREFACE",0,NA,"PREFACE",NA,NA,NA,"PREFACE",12
"2",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",12
"3","KIV","N.Name.Nom.Sg.Neut","NP","KIV",NA,"KIV",1,"KIV",NA,NA,NA,NA,NA,12
"4","Thus","FM","RB","Thus",NA,"Thus",0,NA,"Thus",NA,NA,NA,"Thus",12
"5","much","ADV","RB","much",NA,"much",0,NA,"much",NA,NA,NA,"much",12
"6","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",12
"7","regard","FM","NN","regard",NA,"regard",0,NA,"regard",NA,NA,NA,"regard",12
"8","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",12
"9","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"10","nature","N.Name.Nom.Sg.*","NN","nature",NA,"nature",0,NA,"nature",NA,NA,NA,"nature",12
"11","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",12
"12","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"13","work","FM","NN","work",NA,"work",0,NA,"work",NA,NA,NA,"work",12
"14","offered","FM","VVD","offered","offered","offered",0,NA,"offered",NA,NA,NA,"offered",12
"15","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",12
"16","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"17","public","FM","NN","public",NA,"public",0,NA,"public",NA,NA,NA,"public",12
"18",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"19","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",12
"20","remams","FM","VVZ","remams",NA,"remams",1,"remams",NA,NA,NA,NA,NA,12
"21","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",12
"22","lay","FM","VV","lay",NA,"lay",0,NA,"lay",NA,NA,NA,"lay",12
"23","ſomething","N.Reg.Nom.Sg.Fem","NN","something",NA,"something",0,NA,"something",NA,NA,NA,"something",12
"24","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",12
"25","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"26","manner","FM","NN","manner",NA,"manner",0,NA,"manner",NA,NA,NA,"manner",12
"27","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",12
"28","employing","FM","VVG","employing",NA,"employing",0,NA,"employing",NA,NA,NA,"employing",12
"29","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",12
"30",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"31","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",12
"32","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"33","uſes","FM","NNS","uses",NA,"uses",1,"uses",NA,NA,"uses",NA,"uses",12
"34","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",12
"35","which","VFIN.Full.3.Sg.Past.Ind","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",12
"36","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",12
"37","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",12
"38","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",12
"39","applied","FM","VVN","applied",NA,"applied",0,NA,"applied",NA,NA,NA,"applied",12
"40",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",12
"41","In","FM","IN","In",NA,"In",0,NA,"In",NA,NA,NA,"In",12
"42","learning","FM","VVG","learning",NA,"learning",0,NA,"learning",NA,NA,NA,"learning",12
"43","any","FM","DT","any",NA,"any",0,NA,"any",NA,NA,NA,"any",12
"44","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",12
"45","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"46","living","FM","VVG","living",NA,"living",0,NA,"living",NA,NA,NA,"living",12
"47","languages","ADJA.Pos.Acc.Sg.Neut","NNS","languages",NA,"languages",1,"languages",NA,NA,"languages",NA,"languages",12
"48",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"49","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"50","firft","VPP.Full.Psp","NN","firft","firft","firft",1,"firft",NA,NA,NA,NA,NA,12
"51","great","FM","JJ","great",NA,"great",0,NA,"great",NA,NA,NA,"great",12
"52","pomt","VFIN.Full.3.Sg.Pres.Ind","NN","pomt",NA,"pomt",1,"pomt",NA,NA,NA,NA,NA,12
