M	SYM.Other.XY
*	SYM.Other.XY
%	N.Reg.Nom.Sg.Neut
A	N.Name.Nom.Sg.*
.	SYM.Pun.Sent
4000	CARD

440	CARD
3	CARD
Le	N.Name.*.*.*
kn	N.Name.Nom.Sg.*
P	N.Name.*.*.*
4	CARD
6c	CARD
§	SYM.Other.XY
0	CARD
8	CARD
☚	FM
coce	FM
8	CARD
RR	N.Reg.Nom.*.*

₰	CARD
60	CARD
2	CARD
K	SYM.Other.XY
A	SYM.Other.XY

2n	N.Reg.Nom.Pl.Fem

RE	N.Reg.Nom.Sg.Neut
.	SYM.Pun.Sent
TH	N.Name.Nom.Sg.Neut
B	SYM.Other.XY
F	SYM.Other.XY
△	CARD
C	SYM.Other.XY
E	SYM.Other.XY
.	SYM.Pun.Sent
PF	N.Name.Nom.Sg.*
all	FM
parts	FM
of	FM
learning	FM
which	VFIN.Full.3.Sg.Past.Ind
⸗	N.Name.*.*.*
NA	N.Name.Nom.Sg.*
N	SYM.Other.XY
our	FM
countrymen	FM
have	VFIN.Aux.1.Sg.Pres.Ind
cultivat	FM
*	SYM.Other.Aster
₰	FM
◻	FM
8	CARD
L	N.Name.*.*.*
K.A	N.Name.*.*.*
R	N.Name.*.*.*
ed	FM
,	SYM.Pun.Comma
during	FM
this	FM
laft	VPP.Full.Psp
century	FM
,	SYM.Pun.Comma
with	FM
diſtiguiſhed	FM
fucceſs	FM
,	SYM.Pun.Comma
their	FM
own	FM
language	FM
ſeems	FM
to	FM
be	FM
that	PRO.Dem.Subst.-.Acc.Sg.Neut
wheremn	FM
their	FM
efforts	FM
have	VFIN.Aux.1.Sg.Pres.Ind
been	FM
moſt	FM
weak	FM
or	FM
unfucceſsful	FM
.	SYM.Pun.Sent
They	FM
ſtand	FM
juſtly	FM
foremoſt	N.Reg.Nom.Sg.Fem
in	APPR.In
other	N.Name.*.*.*
branches	ADJA.Pos.Acc.Sg.Neut
of	FM
Philolophy	FM
,	SYM.Pun.Comma
and	FM
even	FM
their	FM
language	FM
is	FM
now	FM
conſidered	FM
by	FM
Foreigners	N.Name.Gen.Sg.*
as	ADV
abſolutely	CARD
requiſite	N.Reg.Nom.Pl.Neut
to	FM
complete	FM
a	FM
learned	FM
education	FM
;	SYM.Pun.Sent
yet	FM
the	FM
Englaſb	FM
themſelves	FM
,	SYM.Pun.Comma
either	ADJD.Comp
ignorant	ADJD.Pos
or	FM
unmindful	FM
of	FM
the	FM
treafure	FM
they	FM
pofleſs	FM
,	SYM.Pun.Comma
have	VFIN.Aux.1.Sg.Pres.Ind
carelelly	FM
ſuffered	FM
it	FM
to	FM
be	FM
adulterated	FM
by	FM
ignorance	FM
,	SYM.Pun.Comma
or	FM
affectation	FM
.	SYM.Pun.Sent
Like	N.Name.Nom.Sg.Masc
Kings	N.Name.Gen.Sg.Masc
panting	FM
after	FM
new	FM
conqueſts	FM
,	SYM.Pun.Comma
they	FM
have	VFIN.Aux.1.Sg.Pres.Ind
indolently	FM
permitted	FM
their	FM
natural	FM
dominions	FM
to	FM
fink	FM
into	N.Name.*.*.*
deſolation	N.Name.*.*.*
.	SYM.Pun.Sent
It	N.Name.*.*.*
muſt	N.Name.*.*.*
be	FM
owned	FM
,	SYM.Pun.Comma
indeed	FM
,	SYM.Pun.Comma
that	PRO.Dem.Subst.-.Nom.Sg.Neut
many	FM
writers	FM
have	VFIN.Aux.1.Sg.Pres.Ind
been	FM
of	FM
late	FM
induſtrioufly	FM
employed	FM
in	APPR.In
drawing	FM
up	FM
Grammatical	FM
Eflays	FM
on	FM
the	FM
Engliſb	FM
tongue	FM
,	SYM.Pun.Comma
incited	FM
,	SYM.Pun.Comma
perhaps	FM
,	SYM.Pun.Comma
by	FM
the	FM
appaA	FM
9	CARD
rent	FM

